2KID,EAID,IS57,IS58,IS59,IS60,IS61,IS62,IS63,IS64,IS65,IS66,IS67,IS68,IS69,IS70,IS71,IS72,IS73,IS74,IS75,IS76,IS77,IS78,IS79,IS80,IS81,IS82,IS83,IS84,IS85,IS86,IS87,IS88,IS89,IS90,IS91,IS92,IS93,IS94,IS95,IS96,IS97,IS98,IS99,IS00,IS01,IS02,IS03,IS04,IS05,IS06,IS07,IS08,IS09,IS10,IS11,IS12,IS13,IS14,IS15,IS16,IS17,IS18,IS19,IS20,IS21,IS22,IS23,IS24
10,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,NOH,NOH,NOH,NOH,NOH,NOH,NOH,NOH,NOH,NOH,NOH,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP,NOP
11,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NOJ,NOJ,NOJ,NOJ,NOJ,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA,UTA
12,24,ROC,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,KCO,KCO,KCO,KCK,KCK,KCK,KCK,KCK,KCK,KCK,KCK,KCK,KCK,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC,SAC
13,19,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY,NY
14,12,MNL,MNL,MNL,MNL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL,LAL
15,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL
16,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL,DAL
17,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NYN,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,NJ,BKN,BKN,BKN,BKN,BKN,BKN,BKN,BKN,BKN,BKN,BKN,BKN
18,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN
19,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
